bookTitle,authorName,price,isbnno,nop,publication
The Paris Library,Janet Skeslien Charles,449,9781982134193,400,Atria Books
The Paris Apartment,Lucy Foley,449,9780063003057,352,HarperCollins
The Guest List,Lucy Foley,399,9780062868084,320,William Morrow
The Hunting Party,Lucy Foley,399,9780062868077,336,William Morrow
The Last Thing He Told Me,Laura Dave,399,9781501171345,320,Simon & Schuster
The Paper Palace,Miranda Cowley Heller,449,9780593329828,352,Riverhead Books
The Great Circle,Maggie Shipstead,499,9780525656970,608,Knopf
The Personal Librarian,Marie Benedict and Victoria Christopher Murray,449,9780593101530,368,Berkley
The Christie Affair,Nina de Gramont,449,9780063001770,304,St. Martin's Press
The Lost Apothecary,Sarah Penner,399,9781488073902,320,Park Row Books
The Dictionary of Lost Words,Pip Williams,399,9781982181192,416,Ballantine Books
Lessons in Chemistry,Bonnie Garmus,499,9780385547345,400,Doubleday
Yellowface,R. F. Kuang,449,9780063250833,336,William Morrow
Babel,R. F. Kuang,599,9780063021426,544,Harper Voyager
The Poppy War,R. F. Kuang,499,9780062662583,544,Harper Voyager
The Dragon Republic,R. F. Kuang,499,9780062662606,672,Harper Voyager
The Burning God,R. F. Kuang,499,9780062662637,672,Harper Voyager
The Atlas Paradox,Olivie Blake,499,9781250853653,384,Tor Books
The Atlas Complex,Olivie Blake,499,9781250853677,480,Tor Books
Fourth Wing,Rebecca Yarros,599,9781649374042,528,Red Tower Books
Iron Flame,Rebecca Yarros,699,9781649374189,640,Red Tower Books
Onyx Storm,Rebecca Yarros,699,9781649374189,544,Entangled Publishing
The Priory of the Orange Tree,Samantha Shannon,599,9781635570298,848,Bloomsbury
A Day of Fallen Night,Samantha Shannon,699,9781639730957,880,Bloomsbury
The Bone Season,Samantha Shannon,449,9781620402810,452,Bloomsbury
The Invisible Library,Genevieve Cogman,399,9780425283387,329,Ace
The Starless Sea,Erin Morgenstern,499,9780385541213,498,Doubleday
The Ten Thousand Doors of January,Alix E. Harrow,399,9780316421990,374,Redhook
The Once and Future Witches,Alix E. Harrow,449,9780316422041,528,Redhook
The City We Became,N. K. Jemisin,449,9780316509848,448,Orbit
The World We Make,N. K. Jemisin,449,9780316509886,416,Orbit
The Fifth Season,N. K. Jemisin,499,9780316229296,512,Orbit
The Obelisk Gate,N. K. Jemisin,499,9780316229234,410,Orbit
The Stone Sky,N. K. Jemisin,499,9780316229227,464,Orbit
The Poppy War,R. F. Kuang,499,9780062662583,544,Harper Voyager
The Invisible Life of Addie LaRue,V. E. Schwab,499,9780765387561,448,Tor Books
The House in the Cerulean Sea,TJ Klune,449,9781250217288,398,Tor Books
Project Hail Mary,Andy Weir,499,9780593135204,496,Ballantine Books
Dune,Frank Herbert,499,9780441172719,688,Ace
Foundation,Isaac Asimov,349,9780553293357,244,Bantam Spectra
The Hitchhiker's Guide to the Galaxy,Douglas Adams,299,9780345391803,224,Del Rey
The Martian,Andy Weir,399,9780553418026,369,Broadway Books
The Handmaid's Tale,Margaret Atwood,399,9780385490818,311,Anchor
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,449,9781501161933,400,Washington Square Press
The Midnight Library,Matt Haig,399,9780525559474,304,Viking
Atomic Habits,James Clear,499,9780735211292,320,Avery
The Psychology of Money,Morgan Housel,349,9780857197689,256,Harriman House
Sapiens,Yuval Noah Harari,499,9780062316097,464,Harper Perennial
Educated,Tara Westover,499,9780399590504,352,Random House
Becoming,Michelle Obama,599,9781524763138,448,Crown
The 7 Habits of Highly Effective People,Stephen R. Covey,499,9781982137274,464,Simon & Schuster
How to Win Friends and Influence People,Dale Carnegie,299,9780671027032,288,Simon & Schuster
The Intelligent Investor,Benjamin Graham,599,9780060555665,640,Harper Business
Rich Dad Poor Dad,Robert T. Kiyosaki,349,9781612680194,336,Plata Publishing
Think and Grow Rich,Napoleon Hill,199,9781585424337,320,TarcherPerigee
Wings of Fire,A. P. J. Abdul Kalam,299,9788173711466,180,Universities Press
Train to Pakistan,Khushwant Singh,249,9780143065884,192,Penguin Books India
India After Gandhi,Ramachandra Guha,699,9780143103357,944,Penguin Books India
The Discovery of India,Jawaharlal Nehru,499,9780143031031,688,Penguin Books India
The Argumentative Indian,Amartya Sen,499,9780141012117,432,Penguin Books
The Last Mughal,William Dalrymple,599,9780143035661,576,Penguin Books
The Anarchy,William Dalrymple,599,9781408864371,576,Bloomsbury
The Palace of Illusions,Chitra Banerjee Divakaruni,349,9780385669931,360,Picador India
The Immortals of Meluha,Amish Tripathi,299,9789380658742,436,Westland
Chanakya's Chant,Ashwin Sanghi,349,9789381626702,432,Westland
Raavan: Enemy of Aryavarta,Amish Tripathi,399,9789388754439,415,Westland
The Great Indian Novel,Shashi Tharoor,399,9780140257751,423,Penguin Books India
The White Tiger,Aravind Adiga,349,9781416562603,288,Free Press
A Fine Balance,Rohinton Mistry,449,9780571250363,603,Faber & Faber
The Inheritance of Loss,Kiran Desai,399,9780802142811,324,Grove Press
The Ministry of Utmost Happiness,Arundhati Roy,499,9780241975489,445,Penguin Books
The God of Small Things,Arundhati Roy,399,9780006550686,340,Flamingo
A Suitable Boy,Vikram Seth,599,9780060786525,1474,Harper Perennial
Shantaram,Gregory David Roberts,599,9780312330538,944,St. Martin's Press
The Lowland,Jhumpa Lahiri,399,9780670085125,340,Viking
Sea of Poppies,Amitav Ghosh,399,9780375718507,515,John Murray
The Glass Palace,Amitav Ghosh,449,9780375759531,512,Mariner Books
The Hungry Tide,Amitav Ghosh,399,9780007449599,403,John Murray
The Shadow Lines,Amitav Ghosh,299,9780007455102,246,John Murray
The Book Thief,Markus Zusak,449,9780375842207,584,Knopf Books
All the Light We Cannot See,Anthony Doerr,499,9781501173219,544,Scribner
The Nightingale,Kristin Hannah,499,9780312577223,608,St. Martin's Press
The Great Alone,Kristin Hannah,449,9780312577230,448,St. Martin's Press
The Women,Kristin Hannah,599,9781250178633,480,St. Martin's Press
The Tattooist of Auschwitz,Heather Morris,399,9780062797155,288,Harper
Pachinko,Min Jin Lee,499,9781455563920,496,Grand Central Publishing
Lessons in Chemistry,Bonnie Garmus,499,9780385547345,400,Doubleday
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,499,9780593321201,416,Knopf
The Dutch House,Ann Patchett,449,9780062963673,337,Harper
A Gentleman in Moscow,Amor Towles,499,9780143110439,462,Viking
The Lincoln Highway,Amor Towles,499,9780735222359,592,Viking
The Guest List,Lucy Foley,399,9780062868084,320,William Morrow
The Last Thing He Told Me,Laura Dave,399,9781501171345,320,Simon & Schuster
The Lost Apothecary,Sarah Penner,399,9781488073902,320,Park Row Books
Yellowface,R. F. Kuang,449,9780063250833,336,William Morrow
Babel,R. F. Kuang,599,9780063021426,544,Harper Voyager
Fourth Wing,Rebecca Yarros,599,9781649374042,528,Red Tower Books
Iron Flame,Rebecca Yarros,699,9781649374189,640,Red Tower Books
Circe,Madeline Miller,449,9780316556347,393,"Little, Brown"
